CPU Power Cap,GPU Power Cap,IPS,FLOPS
120,110,4539054839,0.0
120,130,4495905229,0.0
120,150,4859641019,0.0
120,170,4520315028,0.0
120,190,4545477410,0.0
120,210,4471408055,0.0
120,230,4702710217,0.0
120,250,4498693857,0.0
140,110,5659702999,0.0
140,130,5700306762,0.0
140,150,5700180387,0.0
140,170,5808828673,0.0
140,190,5803309466,0.0
140,210,5673206202,0.0
140,230,5656508330,0.0
140,250,5761648164,0.0
160,110,7538083525,0.0
160,130,6756229025,0.0
160,150,7460349722,0.0
160,170,6914686069,0.0
160,190,7102489346,0.0
160,210,7239646073,0.0
160,230,7260686924,0.0
160,250,6939739020,0.0
180,110,7896742602,0.0
180,130,7983290003,0.0
180,150,8134814833,0.0
180,170,7925554307,0.0
180,190,8029548286,0.0
180,210,8169758287,0.0
180,230,8078379830,0.0
180,250,7720543352,0.0
200,110,8085036392,0.0
200,130,8199710772,0.0
200,150,8077732315,0.0
200,170,8079454893,0.0
200,190,8136534007,0.0
200,210,7942346304,0.0
200,230,8025060983,0.0
200,250,8188351641,0.0
300,110,8365034276,0.0
300,130,7910983318,0.0
300,150,7989856722,0.0
300,170,8219505503,0.0
300,190,7867292078,0.0
300,210,8204290179,0.0
300,230,8178116711,0.0
300,250,8080271597,0.0
540,110,8139220545,0.0
540,130,8158847871,0.0
540,150,7934510072,0.0
540,170,8016342926,0.0
540,190,7990146290,0.0
540,210,7900732344,0.0
540,230,8026189055,0.0
540,250,8258289928,0.0
